Name,n-events,ParentDataset,Source,Parameters
data.csv,508561,,https://cms-docdb.cern.ch/cgi-bin/PublicDocDB/RetrieveFile?docid=6232&filename=data.zip&version=1,NJet  Jet1_Px  Jet1_Py  Jet1_Pz  Jet1_E  Jet1_btag  Jet2_Px  Jet2_Py  Jet2_Pz  Jet2_E  Jet2_btag  Jet3_Px  Jet3_Py  Jet3_Pz  Jet3_E  Jet3_btag  Jet4_Px  Jet4_Py  Jet4_Pz  Jet4_E  Jet4_btag  Jet5_Px  Jet5_Py  Jet5_Pz  Jet5_E  Jet5_btag  NMuon  Muon1_Px  Muon1_Py  Muon1_Pz  Muon1_E  Muon1_Charge  Muon1_Iso  Muon2_Px  Muon2_Py  Muon2_Pz  Muon2_E  Muon2_Charge  Muon2_Iso  Muon3_Px  Muon3_Py  Muon3_Pz  Muon3_E  Muon3_Charge  Muon3_Iso  Muon4_Px  Muon4_Py  Muon4_Pz  Muon4_E  Muon4_Charge  Muon4_Iso  Muon5_Px  Muon5_Py  Muon5_Pz  Muon5_E  Muon5_Charge  Muon5_Iso  NElectron  Electron1_Px  Electron1_Py  Electron1_Pz  Electron1_E  Electron1_Charge  Electron1_Iso  Electron2_Px  Electron2_Py  Electron2_Pz  Electron2_E  Electron2_Charge  Electron2_Iso  Electron3_Px  Electron3_Py  Electron3_Pz  Electron3_E  Electron3_Charge  Electron3_Iso  Electron4_Px  Electron4_Py  Electron4_Pz  Electron4_E  Electron4_Charge  Electron4_Iso  Electron5_Px  Electron5_Py  Electron5_Pz  Electron5_E  Electron5_Charge  Electron5_Iso  NPhoton  Photon1_E  Photon1_Iso  Photon2_E  Photon2_Iso  Photon3_E  Photon3_Iso  Photon4_E  Photon4_Iso  Photon5_E  Photon5_Iso  MET_px  MET_py  NPrimaryVertices  triggerIsoMu24  EventWeight  MChadronicBottom_px  MChadronicBottom_py  MChadronicBottom_pz  MCleptonicBottom_px  MCleptonicBottom_py  MCleptonicBottom_pz  MChadronicWDecayQuark_px  MChadronicWDecayQuark_py  MChadronicWDecayQuark_pz  MChadronicWDecayQuarkBar_px  MChadronicWDecayQuarkBar_py  MChadronicWDecayQuarkBar_pz  MClepton_px  MClepton_py  MClepton_pz  MCleptonPDGid  MCneutrino_px  MCneutrino_py  MCneutrino_pz
dielectron-Jpsi.csv,2000,Electron 2010,http://opendata.cern.ch/record/302/files/dielectron-Jpsi.csv,Run Event E1 px1  py1 pz1 pt1 eta1 phi1 Q1 E2 px2 py2 pz2 pt2 eta2 phi2 Q2 M
dielectron-Upsilon.csv,2000,Electron 2010,http://opendata.cern.ch/record/305/files/dielectron-Upsilon.csv,Run Event E1 px1  py1 pz1 pt1 eta1 phi1 Q1 E2 px2 py2 pz2 pt2 eta2 phi2 Q2 M
dielectron.csv,100000,Electron 2010,http://opendata.cern.ch/record/304/files/dielectron.csv,Run Event E1 px1  py1 pz1 pt1 eta1 phi1 Q1 E2 px2 py2 pz2 pt2 eta2 phi2 Q2 M
Dimuon_DoubleMu.csv,100000,DoubleMu 2011,http://opendata.cern.ch/record/545/files/Dimuon_DoubleMu.csv,Run Event type1 E1 px1 py1 pz1 pt1 eta1 phi1 Q1 type2 E2 px2 py2 pz2 pt2 eta2 phi2 Q2 M
Dimuon_SingleMu.csv,83761,SingleMu 2011,http://opendata.cern.ch/record/545/files/Dimuon_SingleMu.csv,Run Event type1 Q1 pt1 eta1 phi1 E1 px1 py1 pz1 type2 Q2 pt2 eta2 phi2 E2 px2 py2 pz2 M
dimuon-Jpsi.csv,2000,Mu 2010,http://opendata.cern.ch/record/301/files/dimuon-Jpsi.csv,Type Run Event E1 px1 py1 pz1 pt1 eta1 phi1 Q1 E2 px2 py2 pz2 pt2 eta2 phi2 Q2 M
dimuon.csv,100000,Mu 2010,http://opendata.cern.ch/record/303/files/dimuon.csv,Type Run Event E1 px1  py1 pz1 pt1 eta1 phi1 Q1 E2 px2 py2 pz2 pt2 eta2 phi2 Q2 M
diphoton.csv,10,,http://opendata.cern.ch/record/300/files/diphoton.csv,Run Event pt1 eta1 phi1 pt2 eta2 phi2 M
Jpsimumu.csv,20000,DoubleMu 2011,http://opendata.cern.ch/record/545/files/Jpsimumu.csv,Run Event type1 E1 px1 py1 pz1 pt1 eta1 phi1 Q1 type2 E2 px2 py2 pz2 pt2 eta2 phi2 Q2
masterclass_1-leptons.csv,45,,,Event  E1  px1  py1  pz1  pt1  eta1  phi1  Q1  E2  px2  py2  pz2  pt2  eta2  phi2  Q2  M
masterclass_1-lnu.csv,82,,,Event  E  px  py  pz  pt  eta  phi  Q  MET  phiMET
masterclass_1-photon.csv,1,,,Event  pt1  eta1  phi1  pt2  eta2  phi2  M
masterclass_10-leptons.csv,29,,,Event  E1  px1  py1  pz1  pt1  eta1  phi1  Q1  E2  px2  py2  pz2  pt2  eta2  phi2  Q2  M
masterclass_10-lnu.csv,90,,,Event  E  px  py  pz  pt  eta  phi  Q  MET  phiMET
masterclass_10-photon.csv,1,,,Event  pt1  eta1  phi1  pt2  eta2  phi2  M
masterclass_11-leptons.csv,60,,,Event  E1  px1  py1  pz1  pt1  eta1  phi1  Q1  E2  px2  py2  pz2  pt2  eta2  phi2  Q2  M
masterclass_11-lnu.csv,80,,,Event  E  px  py  pz  pt  eta  phi  Q  MET  phiMET
masterclass_11-photon.csv,1,,,Event  pt1  eta1  phi1  pt2  eta2  phi2  M
masterclass_12-leptons.csv,50,,,Event  E1  px1  py1  pz1  pt1  eta1  phi1  Q1  E2  px2  py2  pz2  pt2  eta2  phi2  Q2  M
masterclass_12-lnu.csv,81,,,Event  E  px  py  pz  pt  eta  phi  Q  MET  phiMET
masterclass_12-photon.csv,1,,,Event  pt1  eta1  phi1  pt2  eta2  phi2  M
masterclass_13-leptons.csv,60,,,Event  E1  px1  py1  pz1  pt1  eta1  phi1  Q1  E2  px2  py2  pz2  pt2  eta2  phi2  Q2  M
masterclass_13-lnu.csv,83,,,Event  E  px  py  pz  pt  eta  phi  Q  MET  phiMET
masterclass_13-photon.csv,1,,,Event  pt1  eta1  phi1  pt2  eta2  phi2  M
masterclass_14-leptons.csv,36,,,Event  E1  px1  py1  pz1  pt1  eta1  phi1  Q1  E2  px2  py2  pz2  pt2  eta2  phi2  Q2  M
masterclass_14-lnu.csv,88,,,Event  E  px  py  pz  pt  eta  phi  Q  MET  phiMET
masterclass_14-photon.csv,1,,,Event  pt1  eta1  phi1  pt2  eta2  phi2  M
masterclass_15-leptons.csv,50,,,Event  E1  px1  py1  pz1  pt1  eta1  phi1  Q1  E2  px2  py2  pz2  pt2  eta2  phi2  Q2  M
masterclass_15-lnu.csv,87,,,Event  E  px  py  pz  pt  eta  phi  Q  MET  phiMET
masterclass_15-photon.csv,1,,,Event  pt1  eta1  phi1  pt2  eta2  phi2  M
